artist,slope_per_year,r_squared,p_value,n_songs,n_years_active,first_year,last_year,start_pct,end_pct,total_change
100% (백퍼센트),-0.0023043478260869592,0.010007713974380553,0.8999614375634049,10,4,2012,2022,0.20033333333333334,0.2793333333333333,0.07899999999999999
10cm (십센치),0.016334523809523806,0.16645434302387138,0.275681593897394,13,9,2012,2024,0.0,0.487,0.487
15& (피프틴앤드),-0.014905592621664052,0.2002561841765397,0.1251957274968945,54,13,2012,2024,0.252,0.14766666666666667,-0.10433333333333333
1THE9 (원더나인),0.023255102040816315,0.44430622301608746,0.5355294897323388,13,3,2019,2022,0.27225,0.32699999999999996,0.054749999999999965
2AM (투에이엠),0.00448907422852377,0.04512256550151674,0.6135301591645046,22,8,2010,2022,0.1246,0.259,0.13440000000000002
2NE1 (투애니원),0.01627946428571429,0.183079739094466,0.3382368095302487,43,7,2010,2023,0.5326,0.615,0.08240000000000003
2PM (투피엠),-0.00044426593097479417,0.00034231181017847225,0.9478197049099919,88,15,2010,2025,0.36200000000000004,0.48,0.11799999999999994
2YOON (투윤),-0.028534639064870172,0.4343883111282004,0.03818865916521197,70,10,2010,2023,0.634,0.203,-0.431
3RACHA,0.009338064516129028,0.03697236113615272,0.7151315843808581,10,6,2012,2023,0.277,0.217,-0.060000000000000026
3YE (써드아이),-0.014749999999999994,0.07524824633324219,0.7256858619515899,11,4,2019,2024,0.578,0.441,-0.13699999999999996
A-Jax (에이젝스),0.01142832512315271,0.32304814122273867,0.18307983646905396,16,7,2012,2026,0.491,0.521,0.030000000000000027
A.C.E (에이스),0.09379599720284433,0.8857809923808505,0.0004870864872577686,45,8,2017,2025,0.078,1.0,0.922
AB6IX (에이비식스),0.011049824348931495,0.1196385518464049,0.40133025564040253,149,8,2019,2026,0.291,0.30691666666666667,0.01591666666666669
AKMU/Akdong Musician (악동뮤지션),-0.004788419913419916,0.16203452050095904,0.19452621178626547,42,12,2013,2026,0.20350000000000001,0.121,-0.08250000000000002
AOA (에이오에이),0.01807409812409812,0.24252726982104933,0.14816662635121944,56,10,2012,2022,0.453,0.46599999999999997,0.012999999999999956
APRIL (에이프릴),-0.012051553228621293,0.15431744194628183,0.23204147629137473,45,11,2012,2025,0.176,0.065,-0.11099999999999999
ARTMS (아르테미스),-0.022909090909090934,0.07601521615054035,0.8221750576391021,20,3,2022,2024,0.613,0.5671818181818181,-0.04581818181818187
ASTRO (아스트로),0.04906254895897752,0.8465489572965469,0.003320685776115107,107,7,2016,2022,0.08014285714285714,0.3938181818181818,0.31367532467532466
