artist,slope_per_year,r_squared,p_value,n_songs,n_years_active,first_year,last_year,start_pct,end_pct,total_change
100% (백퍼센트),-0.004031400966183575,0.028765457093034113,0.8303961760660035,10,4,2012,2022,0.20033333333333334,0.26266666666666666,0.062333333333333324
10cm (십센치),0.016233333333333332,0.16442746428306138,0.2789112252141953,13,9,2012,2024,0.0,0.487,0.487
15& (피프틴앤드),-0.011967131083202517,0.14233596176541982,0.20379096120846316,54,13,2012,2024,0.252,0.14666666666666667,-0.10533333333333333
1THE9 (원더나인),0.03741326530612246,0.6676594520276761,0.3911559361305577,13,3,2019,2022,0.2275,0.3245,0.097
2AM (투에이엠),0.004661217681401168,0.05051210776345417,0.5925712878780146,22,8,2010,2022,0.1242,0.258,0.1338
2NE1 (투애니원),0.018824553571428572,0.2181538130980805,0.29065896991164586,43,7,2010,2023,0.497,0.615,0.118
2PM (투피엠),-0.0006516113131393415,0.0007616168295479851,0.9222267654007528,88,15,2010,2025,0.36000000000000004,0.462,0.10199999999999998
2YOON (투윤),-0.02871157870081199,0.4891371744449475,0.024385712585609166,70,10,2010,2023,0.634,0.203,-0.431
3RACHA,0.025526451612903227,0.2404700700415686,0.32339433749010865,10,6,2012,2023,0.082,0.213,0.131
3YE (써드아이),-0.011357142857142868,0.03953611541753684,0.8011630934219283,11,4,2019,2024,0.556,0.433,-0.12300000000000005
A-Jax (에이젝스),0.00834556650246305,0.07340288834551803,0.5567486043670244,16,7,2012,2026,0.491,0.469,-0.02200000000000002
A.C.E (에이스),0.09512002072591244,0.8876043501343434,0.000463779655886579,45,8,2017,2025,0.0675,1.0,0.9325
AB6IX (에이비식스),0.011557966886914257,0.1406539132593444,0.35995867604255377,149,8,2019,2026,0.27410526315789474,0.2951666666666667,0.021061403508771948
AKMU/Akdong Musician (악동뮤지션),-0.004086944758140413,0.11211727158100004,0.287383341554497,42,12,2013,2026,0.1695,0.105,-0.06450000000000002
AOA (에이오에이),0.01804779426922284,0.29171856501241367,0.10703588977719126,56,10,2012,2022,0.3978,0.4315,0.03370000000000001
APRIL (에이프릴),-0.010760261780104712,0.12475702996594527,0.286639925212944,45,11,2012,2025,0.176,0.062,-0.11399999999999999
ARTMS (아르테미스),-0.024727272727272705,0.09297336899339889,0.8027436547888787,20,3,2022,2024,0.593,0.5435454545454546,-0.04945454545454542
ASTRO (아스트로),0.04825353019995877,0.8293728917988088,0.004360073132545377,107,7,2016,2022,0.07907142857142857,0.37836363636363635,0.2992922077922078
